%time,field.data
1569683677377297677,-5.075273468
1569683677377802776,-5.090341116
1569683677377810263,-3.119747566
1569683677378044585,-3.004231398
1569683677378054811,3.605349538
1569683677378231711,3.794788253
1569683677378238934,6.457193055
1569683677378385032,6.458047414
1569683677378391196,6.511529914
1569683677378614448,6.497274466
1569683677378620061,6.050692637
1569683677378737395,5.994396275
1569683677378748940,5.14355081
1569683677378859778,5.048895291
1569683677378868513,4.055825197
1569683677379025864,4.055825197
1569683677379034560,2.053805202
1569683677379273607,2.041119582
1569683677379280683,-2.419752525
1569683677379397712,-2.410308164
1569683677379404922,-4.49769331
1569683677379521324,-4.682057231
1569683677379528335,-6.404045523
1569683677379689586,-6.450795785
1569683677379701612,-6.698186706
1569683677379818679,-6.709141693
1569683677379830772,-5.784711283
1569683677380425719,-5.763542117
1569683677380433407,-3.608014425
1569683677380606236,-3.540682069
1569683677380612560,4.312998109
1569683677380905166,4.32730196
1569683677380912344,6.666348216
1569683677381086721,6.689324889
1569683677381095498,5.522833381
1569683677381244574,5.508083024
1569683677381252030,4.661328171
1569683677381435668,4.586524747
1569683677381442204,3.096717475
1569683677381582701,2.937898787
1569683677381595889,0.368230025
1569683677381733543,0.180919804
1569683677381741313,-3.030656563
1569683677381866269,-3.248999402
1569683677381872729,-6.345601337
1569683677382025240,-6.340133633
1569683677382032072,-6.512881569
1569683677382161964,-6.454838734
1569683677382180508,-6.062007356
1569683677382344530,-6.056755697
1569683677382349810,-4.748134339
1569683677382480964,-4.720772565
1569683677382486868,-3.88499639
1569683677382618213,-3.781563129
1569683677382631767,-2.32803507
1569683677382782887,-2.187946384
1569683677382789411,0.858385476
1569683677382935377,0.904584783
1569683677382943679,4.61185993
1569683677383051975,4.716823199
1569683677383070289,6.45241945
1569683677383679628,6.466556207
1569683677383685596,6.361754619
1569683677383837161,6.317373789
1569683677383854748,3.65018169
1569683677384013729,3.653733519
1569683677384021439,0.890091555
1569683677384165568,0.86753673
1569683677384180236,-2.637873593
1569683677384308993,-2.839055734
1569683677384327943,-5.216544961
1569683677384857624,-5.226821213
1569683677384864135,-6.963571887
1569683677385002861,-6.962088554
1569683677385009483,-4.817268084
1569683677385120604,-4.744979226
1569683677385127365,-4.080883301
1569683677385268443,-4.081219717
1569683677385281292,-3.024711122
1569683677385447196,-2.907429969
1569683677385459720,0.228356776
